EAR,MAR,PERCLOS,BLINKS,YAWNS,Pitch,label
0.259,0.229,0.0,0,0,0.018,0
0.25,0.241,0.0,0,0,0.019,0
0.254,0.242,0.0,0,0,0.016,0
0.254,0.242,0.0,0,0,0.012,0
0.247,0.231,0.0,0,0,0.017,0
0.248,0.234,0.0,0,0,0.014,0
0.25,0.234,0.0,0,0,0.011,0
0.263,0.235,0.0,0,0,0.007,0
0.233,0.245,0.0,0,0,0.008,0
0.251,0.235,0.0,0,0,0.008,0
0.251,0.225,0.0,0,0,0.008,0
0.238,0.238,0.0,0,0,0.015,0
0.256,0.238,0.0,0,0,0.013,0
0.23,0.222,0.0,0,0,0.01,0
0.238,0.228,0.0,0,0,0.009,0
0.245,0.238,0.0,0,0,0.008,0
0.237,0.248,0.0,0,0,0.006,0
0.244,0.235,0.0,0,0,0.015,0
0.225,0.235,0.0,0,0,0.008,0
0.237,0.248,0.0,0,0,0.01,0
0.234,0.245,0.0,0,0,0.008,0
0.232,0.244,0.0,0,0,0.003,0
0.25,0.241,0.0,0,0,0.011,0
0.23,0.239,0.0,0,0,0.008,0
0.239,0.231,0.0,0,0,0.01,0
0.222,0.239,0.0,0,0,0.991,0
0.213,0.235,0.0,0,0,0.005,0
0.23,0.243,0.0,0,0,0.007,0
0.209,0.231,0.0,0,0,0.989,0
0.213,0.231,0.0,0,0,0.989,0
0.197,0.231,0.0,0,0,0.985,0
0.196,0.234,0.0,0,0,0.986,0
0.192,0.225,0.0,0,0,0.985,0
0.183,0.231,0.0,0,0,0.986,0
0.193,0.232,0.0,0,0,0.985,0
0.198,0.231,0.0,0,0,0.983,0
0.195,0.221,0.0,0,0,0.994,0
0.175,0.228,0.0,1,0,0.989,0
0.192,0.225,0.03,1,0,0.984,0
0.183,0.229,0.049,1,0,0.983,0
0.244,0.242,0.076,1,0,0.99,0
0.228,0.232,0.074,1,0,0.989,0
0.231,0.218,0.073,1,0,0.989,0
0.239,0.219,0.072,1,0,0.99,0
0.222,0.228,0.07,1,0,0.986,0
0.248,0.231,0.067,1,0,0.996,0
0.245,0.224,0.067,1,0,0.996,0
0.223,0.239,0.065,1,0,0.012,0
0.227,0.235,0.064,1,0,0.009,0
0.231,0.241,0.063,1,0,0.995,0
0.224,0.241,0.062,1,0,0.989,0
0.244,0.232,0.061,1,0,0.988,0
0.237,0.234,0.06,1,0,0.987,0
0.256,0.236,0.059,1,0,0.987,0
0.241,0.236,0.058,1,0,0.989,0
0.226,0.215,0.057,1,0,0.983,0
0.238,0.225,0.055,1,0,0.983,0
0.231,0.225,0.055,1,0,0.983,0
0.244,0.222,0.054,1,0,0.983,0
0.237,0.228,0.053,1,0,0.987,0
0.251,0.22,0.052,1,0,0.986,0
0.237,0.221,0.051,1,0,0.984,0
0.219,0.229,0.05,1,0,0.985,0
0.238,0.227,0.05,1,0,0.984,0
0.222,0.228,0.049,1,0,0.983,0
0.236,0.236,0.048,1,0,0.988,0
0.247,0.228,0.047,1,0,0.988,0
0.236,0.218,0.047,1,0,0.983,0
0.218,0.218,0.046,1,0,0.001,0
0.244,0.222,0.045,1,0,0.003,0
0.223,0.239,0.045,1,0,0.986,0
0.238,0.229,0.044,1,0,0.987,0
0.234,0.228,0.043,1,0,0.986,0
0.245,0.228,0.043,1,0,0.986,0
0.238,0.243,0.042,1,0,0.982,0
0.241,0.24,0.042,1,0,0.984,0
0.223,0.222,0.041,1,0,0.982,0
0.238,0.215,0.041,1,0,0.983,0
0.246,0.192,0.04,1,0,0.983,0
0.235,0.206,0.04,1,0,0.981,0
0.236,0.185,0.039,1,0,0.981,0
0.217,0.215,0.039,1,0,0.981,0
0.216,0.21,0.038,1,0,0.984,0
0.233,0.267,0.038,1,0,0.987,0
0.221,0.271,0.037,1,0,0.987,0
0.209,0.388,0.037,1,0,0.988,0
0.221,0.383,0.037,1,0,0.987,0
0.205,0.388,0.036,1,0,0.988,0
0.22,0.41,0.036,1,0,0.992,0
0.194,0.382,0.035,1,0,0.985,0
0.208,0.378,0.035,1,0,0.985,0
0.189,0.383,0.035,1,0,0.982,0
0.191,0.371,0.034,1,0,0.983,0
0.189,0.373,0.034,1,0,0.987,0
0.205,0.379,0.034,1,0,0.987,0
0.201,0.368,0.033,1,0,0.986,0
0.196,0.364,0.033,1,0,0.988,0
0.201,0.367,0.033,1,0,0.985,0
0.178,0.373,0.032,2,0,0.982,0
0.182,0.356,0.039,2,0,0.984,0
0.191,0.371,0.048,2,0,0.982,0
0.193,0.376,0.064,2,0,0.984,0
0.196,0.371,0.07,2,0,0.987,0
0.208,0.383,0.081,2,0,0.987,0
0.201,0.359,0.08,2,0,0.989,0
0.2,0.38,0.08,2,0,0.988,0
0.193,0.355,0.079,2,0,0.987,0
0.211,0.354,0.078,2,0,0.988,0
0.211,0.36,0.077,2,0,0.009,0
0.205,0.354,0.077,2,0,0.988,0
0.204,0.364,0.076,2,0,0.988,0
0.211,0.368,0.075,2,0,0.988,0
0.217,0.352,0.075,2,0,0.013,0
0.215,0.351,0.074,2,0,0.989,0
0.221,0.368,0.074,2,0,0.01,0
0.212,0.382,0.073,2,0,0.986,0
0.22,0.393,0.072,2,0,0.986,0
0.206,0.377,0.071,2,0,0.011,0
0.204,0.371,0.071,2,0,0.01,0
0.216,0.377,0.07,2,0,0.012,0
0.242,0.389,0.07,2,0,0.012,0
0.229,0.372,0.069,2,0,0.014,0
0.21,0.39,0.069,2,0,0.015,0
0.206,0.396,0.068,2,0,0.011,0
0.214,0.396,0.068,2,0,0.99,0
0.231,0.395,0.067,2,0,0.011,0
0.228,0.395,0.067,2,0,0.995,0
0.214,0.375,0.066,2,0,0.996,0
0.214,0.349,0.065,2,0,0.996,0
0.214,0.353,0.065,2,0,0.005,0
0.235,0.218,0.064,2,0,0.996,0
0.238,0.232,0.064,2,0,0.993,0
0.225,0.229,0.064,2,0,0.996,0
0.227,0.222,0.063,2,0,0.998,0
0.236,0.215,0.063,2,0,0.993,0
0.251,0.21,0.062,2,0,0.992,0
0.232,0.217,0.062,2,0,0.99,0
0.238,0.232,0.061,2,0,0.99,0
0.257,0.232,0.061,2,0,0.995,0
0.236,0.25,0.06,2,0,0.013,0
0.243,0.239,0.06,2,0,0.996,0
0.253,0.232,0.06,2,0,0.016,0
0.273,0.236,0.059,2,0,0.002,0
0.247,0.228,0.059,2,0,0.019,0
0.239,0.232,0.058,2,0,0.018,0
0.253,0.222,0.058,2,0,0.02,0
0.226,0.235,0.057,2,0,0.019,0
0.26,0.245,0.057,2,0,0.02,0
0.247,0.232,0.057,2,0,0.001,0
0.242,0.225,0.057,2,0,0.021,0
0.234,0.233,0.056,2,0,0.017,0
0.234,0.239,0.056,2,0,0.021,0
0.228,0.241,0.055,2,0,0.019,0
0.235,0.228,0.055,2,0,0.019,0
0.238,0.239,0.055,2,0,0.02,0
0.247,0.235,0.054,2,0,0.02,0
0.236,0.239,0.054,2,0,0.024,0
0.237,0.222,0.054,2,0,0.017,0
0.24,0.232,0.053,2,0,0.015,0
0.266,0.232,0.053,2,0,0.014,0
0.267,0.229,0.053,2,0,0.998,0
0.245,0.218,0.052,2,0,0.997,0
0.243,0.218,0.052,2,0,0.996,0
0.241,0.229,0.052,2,0,0.01,0
0.252,0.225,0.051,2,0,0.013,0
0.241,0.229,0.051,2,0,0.009,0
0.252,0.228,0.051,2,0,0.01,0
0.242,0.231,0.05,2,0,0.012,0
0.237,0.229,0.05,2,0,0.011,0
0.249,0.222,0.05,2,0,0.009,0
0.239,0.229,0.05,2,0,0.994,0
0.234,0.226,0.049,2,0,0.996,0
0.253,0.226,0.049,2,0,0.995,0
0.234,0.229,0.049,2,0,0.013,0
0.231,0.225,0.048,2,0,0.994,0
0.24,0.24,0.048,2,0,0.997,0
0.24,0.233,0.048,2,0,0.997,0
0.226,0.233,0.048,2,0,0.996,0
0.238,0.228,0.047,2,0,0.994,0
0.237,0.222,0.047,2,0,0.008,0
0.228,0.239,0.047,2,0,0.99,0
0.236,0.239,0.046,2,0,0.991,0
0.255,0.222,0.046,2,0,0.995,0
0.253,0.245,0.046,2,0,0.995,0
0.23,0.238,0.046,2,0,0.996,0
0.234,0.233,0.046,2,0,0.994,0
0.238,0.236,0.045,2,0,0.997,0
0.234,0.236,0.045,2,0,1.0,0
0.25,0.222,0.045,2,0,0.997,0
0.244,0.237,0.045,2,0,0.013,0
0.234,0.239,0.044,2,0,0.997,0
0.241,0.228,0.044,2,0,0.011,0
0.273,0.228,0.044,2,0,0.009,0
0.248,0.225,0.044,2,0,0.995,0
0.248,0.226,0.044,2,0,0.995,0
0.256,0.233,0.043,2,0,0.011,0
0.258,0.236,0.043,2,0,0.995,0
0.263,0.239,0.043,2,0,0.995,0
0.262,0.236,0.043,2,0,0.993,0
0.248,0.229,0.043,2,0,0.993,0
0.25,0.225,0.042,2,0,0.993,0
0.251,0.228,0.042,2,0,0.994,0
0.239,0.215,0.042,2,0,0.012,0
0.255,0.225,0.042,2,0,0.995,0
0.26,0.225,0.041,2,0,0.992,0
0.256,0.235,0.041,2,0,0.991,0
0.237,0.222,0.041,2,0,0.994,0
0.237,0.235,0.041,2,0,0.994,0
0.249,0.229,0.041,2,0,0.994,0
0.23,0.221,0.04,2,0,0.993,0
0.248,0.221,0.04,2,0,0.996,0
0.248,0.223,0.04,2,0,0.993,0
0.24,0.232,0.04,2,0,0.992,0
0.249,0.232,0.04,2,0,0.994,0
0.24,0.222,0.039,2,0,0.994,0
0.256,0.228,0.039,2,0,0.991,0
0.249,0.228,0.039,2,0,0.011,0
0.249,0.238,0.039,2,0,0.997,0
0.238,0.225,0.039,2,0,0.991,0
0.248,0.236,0.039,2,0,0.992,0
0.259,0.231,0.038,2,0,0.995,0
0.261,0.231,0.038,2,0,0.01,0
0.24,0.239,0.038,2,0,0.993,0
0.238,0.242,0.038,2,0,0.994,0
0.248,0.232,0.038,2,0,0.996,0
0.245,0.233,0.038,2,0,0.992,0
0.252,0.222,0.037,2,0,0.992,0
0.272,0.236,0.037,2,0,0.996,0
0.25,0.229,0.037,2,0,0.997,0
0.239,0.219,0.037,2,0,0.006,0
0.246,0.219,0.037,2,0,0.01,0
0.262,0.213,0.037,2,0,0.011,0
0.244,0.219,0.037,2,0,0.011,0
0.236,0.224,0.036,2,0,0.011,0
0.25,0.239,0.036,2,0,0.993,0
0.258,0.232,0.036,2,0,0.993,0
0.247,0.235,0.036,2,0,0.994,0
0.247,0.238,0.036,2,0,0.995,0
0.254,0.225,0.036,2,0,0.007,0
0.254,0.231,0.035,2,0,0.007,0
0.242,0.215,0.035,2,0,0.996,0
0.254,0.221,0.035,2,0,0.991,0
0.248,0.219,0.035,2,0,0.994,0
